customer_id,tenure_months,monthly_charges,total_charges,support_calls_30d,contract,payment_method,internet_service,churn
C000178,11,22.98,3868.95,5,month-to-month,boleto,fiber,0
C000179,65,62.87,6743.73,0,two-year,pix,fiber,0
C000180,36,74.98,8690.8,3,one-year,pix,fiber,0
C000181,68,84.26,2540.83,4,month-to-month,bank_transfer,fiber,0
C000182,11,50.35,267.3,4,month-to-month,bank_transfer,dsl,0
C000183,36,24.43,4037.76,3,one-year,credit_card,fiber,1
C000184,50,58.2,6851.6,4,one-year,bank_transfer,fiber,1
C000185,36,128.73,5076.03,4,month-to-month,boleto,dsl,0
C000186,32,125.02,7517.3,2,month-to-month,bank_transfer,fiber,0
C000187,12,43.5,2400.34,4,two-year,pix,fiber,0
C000188,27,104.02,611.41,2,one-year,bank_transfer,fiber,0
C000189,17,140.07,1988.27,2,two-year,boleto,fiber,0
C000190,22,42.37,2058.69,4,two-year,credit_card,dsl,1
C000191,49,36.73,3017.35,5,month-to-month,credit_card,dsl,0
C000192,46,22.88,2806.05,0,month-to-month,boleto,fiber,0
C000193,44,42.41,2107.98,2,month-to-month,bank_transfer,fiber,0
C000194,26,125.81,1096.46,3,one-year,credit_card,fiber,0
C000195,70,125.82,4696.49,2,month-to-month,boleto,dsl,1
C000196,6,90.26,6402.6,2,month-to-month,bank_transfer,fiber,0
C000197,25,63.36,8174.95,0,month-to-month,bank_transfer,fiber,1
C000198,8,124.88,2481.92,2,two-year,bank_transfer,none,1
C000199,24,45.35,5944.84,5,two-year,bank_transfer,dsl,1
C000200,70,38.18,4748.04,5,month-to-month,credit_card,dsl,0
C000201,26,31.6,7954.96,4,one-year,pix,dsl,1
C000202,66,130.67,6255.56,1,month-to-month,boleto,fiber,0
C000203,36,112.93,1646.58,0,month-to-month,pix,dsl,1
C000204,51,101.2,2396.97,2,two-year,bank_transfer,fiber,1
C000205,33,114.57,5620.35,1,month-to-month,credit_card,fiber,1
C000206,19,38.65,6760.64,3,one-year,credit_card,fiber,0
C000207,55,70.02,708.3,4,one-year,bank_transfer,dsl,0
C000208,70,125.83,5817.38,1,month-to-month,boleto,fiber,0
C000209,19,139.18,1533.77,1,month-to-month,bank_transfer,none,1
C000210,56,86.7,8486.43,5,month-to-month,bank_transfer,dsl,0
C000211,19,35.87,8673.81,0,month-to-month,pix,fiber,1
C000212,52,147.21,7732.81,3,one-year,boleto,dsl,0
C000213,57,71.35,7744.81,3,month-to-month,credit_card,none,0
C000214,32,61.47,8650.26,2,month-to-month,pix,dsl,0
C000215,53,35.6,2574.6,2,two-year,bank_transfer,fiber,0
C000216,19,21.64,4703.53,3,one-year,credit_card,dsl,0
C000217,5,98.48,1205.13,3,one-year,bank_transfer,fiber,0
C000218,7,99.62,4105.62,3,month-to-month,boleto,fiber,0
C000219,32,50.45,941.89,1,month-to-month,bank_transfer,dsl,0
C000220,65,41.06,6224.98,1,month-to-month,credit_card,dsl,0
C000221,9,88.64,680.99,3,two-year,credit_card,fiber,0
C000222,33,76.6,7736.11,1,month-to-month,bank_transfer,fiber,0
C000223,51,59.48,7664.15,1,two-year,pix,fiber,1
C000224,14,48.37,8690.58,5,one-year,credit_card,fiber,1
C000225,52,131.71,245.08,1,month-to-month,pix,none,0
C000226,22,147.9,7367.52,2,two-year,pix,dsl,0
C000227,59,66.23,2635.61,2,one-year,bank_transfer,fiber,0
C000228,42,110.76,1762.91,2,two-year,credit_card,fiber,1
C000229,39,132.52,6755.0,3,two-year,bank_transfer,fiber,0
C000230,12,23.5,1080.58,5,one-year,credit_card,fiber,0
C000231,33,138.05,7882.16,3,two-year,pix,fiber,0
C000232,62,84.89,7877.97,3,month-to-month,boleto,fiber,0
C000233,1,92.38,5003.65,2,two-year,boleto,none,1
C000234,55,90.18,3804.59,4,two-year,boleto,fiber,0
C000235,35,51.58,8005.32,0,month-to-month,boleto,dsl,0
C000236,52,121.69,6411.35,1,two-year,pix,dsl,1
C000237,48,115.2,289.68,0,month-to-month,bank_transfer,fiber,0
C000238,31,32.45,3708.18,1,month-to-month,pix,fiber,0
C000239,22,93.16,3868.02,0,one-year,boleto,fiber,0
C000240,45,144.41,7705.29,2,two-year,credit_card,dsl,0
C000241,10,133.25,7944.75,5,two-year,bank_transfer,none,0
C000242,42,101.37,4892.07,2,two-year,pix,dsl,1
C000243,6,45.83,1010.39,4,one-year,pix,none,1
C000244,47,65.14,5481.7,4,one-year,pix,none,0
C000245,45,39.55,4143.86,2,month-to-month,bank_transfer,fiber,0
C000246,6,126.85,3806.3,1,one-year,boleto,fiber,0
C000247,55,121.23,8858.91,1,month-to-month,credit_card,fiber,1
C000248,30,138.35,8962.43,3,month-to-month,credit_card,dsl,1
C000249,57,28.24,3686.39,0,month-to-month,boleto,fiber,0
C000250,3,145.41,8411.24,2,month-to-month,boleto,fiber,0
C000251,13,145.64,2201.44,2,one-year,bank_transfer,none,0
C000252,36,107.67,1741.45,4,month-to-month,pix,fiber,0
C000253,13,134.63,5910.52,5,month-to-month,credit_card,dsl,0
C000254,24,77.0,4504.18,5,one-year,boleto,fiber,0
C000255,48,60.74,6711.91,4,month-to-month,boleto,dsl,0
C000256,10,40.07,988.96,1,month-to-month,credit_card,fiber,0
C000257,49,24.11,4341.74,3,one-year,boleto,dsl,0
C000258,7,25.46,6135.98,5,one-year,bank_transfer,fiber,0
C000259,12,109.9,4509.63,1,month-to-month,bank_transfer,fiber,0
C000260,42,63.75,2576.95,4,month-to-month,boleto,fiber,0
C000261,57,27.03,4507.32,0,month-to-month,boleto,dsl,0
C000262,12,34.59,5267.21,4,one-year,credit_card,fiber,0
C000263,21,106.49,4953.21,4,month-to-month,credit_card,dsl,0
C000264,67,142.03,5093.0,0,month-to-month,boleto,dsl,0
C000265,72,73.04,3985.1,2,two-year,credit_card,fiber,0
C000266,42,121.1,2979.07,4,month-to-month,credit_card,fiber,0
C000267,32,146.57,633.76,2,two-year,pix,fiber,0
C000268,25,112.08,418.27,2,month-to-month,bank_transfer,none,0
C000269,44,113.99,4804.31,5,month-to-month,bank_transfer,fiber,0
C000270,43,100.07,7728.99,5,month-to-month,boleto,dsl,0
C000271,21,147.1,7071.09,2,two-year,credit_card,fiber,0
C000272,1,58.97,4826.28,2,two-year,boleto,fiber,0
C000273,11,121.79,5755.5,3,month-to-month,bank_transfer,fiber,0
C000274,69,73.96,8788.03,0,two-year,pix,dsl,0
C000275,30,40.2,8705.13,3,month-to-month,boleto,fiber,1
C000276,35,116.12,8953.25,4,month-to-month,bank_transfer,dsl,1
C000277,34,127.82,148.39,3,one-year,bank_transfer,fiber,0
C000278,57,132.27,5725.88,4,two-year,bank_transfer,fiber,0
C000279,4,139.84,6705.65,3,two-year,bank_transfer,fiber,0
C000280,6,116.84,927.65,2,month-to-month,bank_transfer,fiber,1
C000281,20,88.59,3269.13,1,two-year,pix,fiber,1
C000282,35,142.03,1486.08,4,month-to-month,boleto,none,1
C000283,48,47.24,3461.63,4,month-to-month,credit_card,dsl,0
C000284,35,30.05,3970.85,3,one-year,pix,dsl,0
C000285,32,76.11,1605.32,1,one-year,boleto,fiber,0
C000286,68,95.69,4464.76,4,two-year,pix,none,0
C000287,11,108.4,1688.24,1,two-year,pix,fiber,0
C000288,41,126.0,8300.63,2,two-year,credit_card,none,1
C000289,39,23.48,1525.29,5,month-to-month,credit_card,fiber,0
C000290,34,124.27,4612.94,1,month-to-month,credit_card,dsl,0
C000291,58,98.02,3098.62,5,one-year,credit_card,fiber,0
C000292,19,143.88,3804.73,0,two-year,boleto,fiber,0
C000293,69,65.23,3504.38,0,one-year,bank_transfer,dsl,0
C000294,24,100.21,8807.93,4,month-to-month,bank_transfer,fiber,0
C000295,39,119.65,5972.53,3,one-year,bank_transfer,fiber,0
C000296,38,87.13,438.52,5,month-to-month,boleto,fiber,0
C000297,62,40.27,7515.76,5,two-year,boleto,dsl,0
C000298,32,26.47,4908.9,3,two-year,boleto,dsl,0
C000299,20,34.48,1048.63,4,month-to-month,boleto,fiber,0
C000300,1,84.34,4244.42,2,month-to-month,boleto,dsl,1
C000301,26,103.15,1201.49,0,two-year,boleto,fiber,1
C000302,60,94.17,5017.58,0,two-year,credit_card,fiber,0
C000303,0,112.68,3336.43,1,month-to-month,pix,fiber,0
C000304,65,25.07,601.25,5,two-year,boleto,dsl,0
C000305,39,37.72,5882.04,0,two-year,credit_card,fiber,0
C000306,10,118.95,2100.69,5,one-year,boleto,fiber,0
C000307,22,121.55,6897.31,1,month-to-month,credit_card,fiber,1
C000308,40,111.3,8134.32,2,one-year,bank_transfer,fiber,0
C000309,23,116.91,2184.77,3,month-to-month,boleto,dsl,0
C000310,7,145.25,2752.61,4,month-to-month,bank_transfer,dsl,0
C000311,48,142.75,419.21,0,two-year,credit_card,fiber,0
C000312,49,103.78,4333.63,4,two-year,pix,fiber,0
C000313,8,61.51,7562.57,4,one-year,boleto,fiber,0
C000314,20,21.83,991.49,0,one-year,bank_transfer,dsl,1
C000315,17,102.11,1509.7,5,one-year,pix,fiber,0
C000316,48,76.07,6701.43,3,one-year,pix,fiber,1
C000317,53,39.11,5742.97,4,one-year,boleto,fiber,0
C000318,53,47.98,1794.02,1,two-year,credit_card,fiber,0
C000319,68,141.75,1541.22,4,one-year,bank_transfer,dsl,0
C000320,56,28.61,634.25,4,month-to-month,pix,none,0
C000321,23,122.37,158.81,0,month-to-month,bank_transfer,fiber,0
C000322,7,137.27,3803.33,1,two-year,pix,fiber,0
C000323,44,109.49,970.72,4,month-to-month,boleto,dsl,0
C000324,66,27.97,2628.91,4,two-year,boleto,fiber,0
C000325,71,129.96,7865.37,1,month-to-month,bank_transfer,fiber,0
C000326,16,104.93,444.15,2,one-year,credit_card,dsl,0
C000327,17,56.01,7170.96,4,month-to-month,boleto,fiber,1
C000328,2,101.86,3434.62,4,month-to-month,bank_transfer,none,0
C000329,10,37.75,3706.97,1,two-year,bank_transfer,fiber,0
C000330,40,111.99,8753.99,4,month-to-month,boleto,fiber,0
C000331,39,137.39,5116.31,2,month-to-month,bank_transfer,fiber,0
C000332,27,87.82,329.72,4,month-to-month,bank_transfer,fiber,0
C000333,22,143.77,7144.45,0,one-year,boleto,none,1
C000334,60,76.95,4990.72,0,one-year,credit_card,fiber,0
C000335,33,131.48,6993.59,2,month-to-month,boleto,fiber,0
C000336,59,120.57,1360.94,4,month-to-month,boleto,fiber,0
C000337,70,31.5,2362.66,4,month-to-month,credit_card,none,0
C000338,23,138.64,8194.75,3,month-to-month,bank_transfer,fiber,0
C000339,14,138.36,3868.81,4,one-year,bank_transfer,none,0
C000340,69,65.68,4596.19,0,month-to-month,credit_card,fiber,0
C000341,46,123.15,5788.16,3,month-to-month,boleto,dsl,0
C000342,21,49.2,4754.64,1,month-to-month,bank_transfer,none,1
C000343,45,23.95,6755.58,2,month-to-month,boleto,fiber,0
C000344,37,47.03,2008.54,5,two-year,boleto,none,0
C000345,66,82.92,8287.55,3,month-to-month,bank_transfer,fiber,0
C000346,18,27.51,483.14,5,two-year,bank_transfer,fiber,0
C000347,72,40.8,4495.5,5,two-year,credit_card,fiber,0
C000348,68,143.56,8978.87,1,month-to-month,pix,fiber,0
C000349,13,84.2,5929.1,4,two-year,pix,fiber,0
C000350,12,127.0,4339.56,2,month-to-month,boleto,fiber,0
C000351,38,46.86,8572.86,2,one-year,credit_card,fiber,0
C000352,3,31.51,701.88,0,month-to-month,credit_card,dsl,1
C000353,21,121.47,3801.42,3,month-to-month,boleto,none,0
C000354,31,65.35,8132.01,5,month-to-month,boleto,fiber,1
C000355,70,79.77,6122.21,3,one-year,pix,fiber,1
C000356,72,148.98,3315.93,5,month-to-month,boleto,fiber,0
C000357,11,61.15,8798.0,1,one-year,credit_card,fiber,0
C000358,65,81.51,6832.23,0,month-to-month,pix,fiber,0
C000359,6,102.53,8795.86,0,one-year,pix,dsl,0
C000360,54,31.58,5253.13,2,two-year,boleto,dsl,0
C000361,61,113.14,73.6,1,month-to-month,credit_card,fiber,0
C000362,65,78.73,8747.46,0,one-year,pix,fiber,0
C000363,16,42.75,7416.63,5,one-year,pix,fiber,1
C000364,65,75.97,4952.66,4,month-to-month,credit_card,none,0
C000365,8,79.89,1448.02,4,month-to-month,boleto,fiber,0
C000366,37,103.3,7928.44,2,two-year,bank_transfer,dsl,0
C000367,34,141.83,5736.19,0,month-to-month,boleto,none,1
C000368,23,119.46,27.31,5,month-to-month,boleto,fiber,0
C000369,1,69.72,4444.01,5,one-year,boleto,none,0
C000370,56,146.05,8840.86,0,two-year,credit_card,dsl,1
C000371,24,122.81,5273.99,3,two-year,bank_transfer,dsl,1
C000372,48,23.63,6396.55,0,one-year,bank_transfer,fiber,0
C000373,29,35.16,5922.45,1,one-year,bank_transfer,fiber,1
C000374,27,48.34,4668.65,5,two-year,boleto,none,0
C000375,64,30.86,6228.8,2,two-year,credit_card,none,1
C000376,6,83.11,1761.88,5,two-year,pix,fiber,0
C000377,53,64.29,3041.34,4,month-to-month,bank_transfer,fiber,0
C000378,54,146.48,8004.81,5,one-year,pix,fiber,0
C000379,27,81.46,2428.64,0,month-to-month,credit_card,fiber,0
C000380,19,47.58,3750.72,1,month-to-month,bank_transfer,dsl,0
C000381,0,146.2,930.43,1,month-to-month,pix,fiber,0
C000382,68,86.8,8374.41,5,two-year,bank_transfer,dsl,0
C000383,69,29.5,2423.91,3,month-to-month,pix,fiber,0
C000384,17,30.51,5228.69,0,month-to-month,boleto,fiber,0
C000385,2,107.79,3588.95,5,one-year,bank_transfer,fiber,0
C000386,8,84.32,3120.51,2,month-to-month,pix,none,0
C000387,4,101.15,1513.79,0,two-year,boleto,dsl,0
C000388,60,130.46,8964.22,1,month-to-month,bank_transfer,fiber,0
C000389,65,108.58,2602.69,5,month-to-month,bank_transfer,fiber,0
C000390,11,132.03,3567.85,4,month-to-month,boleto,fiber,0
C000391,54,116.55,1734.56,1,month-to-month,credit_card,none,0
C000392,13,107.67,5648.18,4,month-to-month,credit_card,fiber,0
C000393,26,37.51,775.55,5,one-year,pix,fiber,0
C000394,43,82.77,5966.5,2,month-to-month,credit_card,fiber,0
C000395,52,76.3,4527.79,4,month-to-month,boleto,none,0
C000396,63,90.29,5827.37,3,two-year,credit_card,fiber,0
C000397,3,70.85,42.2,5,month-to-month,boleto,fiber,0
C000398,14,100.66,6061.36,5,two-year,bank_transfer,fiber,0
C000399,20,71.02,411.1,1,two-year,credit_card,fiber,1
C000400,22,92.49,8257.48,0,one-year,bank_transfer,dsl,0
C000401,72,71.33,7140.81,5,one-year,credit_card,fiber,1
C000402,56,137.23,1115.13,5,month-to-month,boleto,fiber,0
C000403,23,68.54,5006.37,1,month-to-month,bank_transfer,fiber,0
C000404,70,115.02,8611.74,5,month-to-month,boleto,fiber,0
C000405,36,99.79,2183.59,0,month-to-month,credit_card,fiber,1
C000406,36,70.12,654.19,0,month-to-month,pix,fiber,0
C000407,31,124.99,3802.75,3,month-to-month,bank_transfer,dsl,1
C000408,10,140.58,1243.87,5,month-to-month,boleto,fiber,0
C000409,68,118.86,6997.91,5,two-year,boleto,fiber,0
C000410,1,143.32,8209.34,0,month-to-month,boleto,dsl,0
C000411,12,76.72,4046.46,4,month-to-month,bank_transfer,none,0
C000412,16,138.79,8981.18,2,month-to-month,bank_transfer,dsl,0
C000413,20,133.91,1710.77,4,month-to-month,boleto,fiber,0
C000414,9,119.11,8259.96,2,one-year,bank_transfer,fiber,1
C000415,1,128.58,2911.32,0,two-year,credit_card,fiber,0
C000416,49,114.92,8116.99,3,month-to-month,bank_transfer,none,1
C000417,70,86.6,8140.29,2,month-to-month,credit_card,none,0
C000418,8,91.81,3139.85,2,one-year,bank_transfer,dsl,0
C000419,21,74.3,182.55,3,month-to-month,boleto,dsl,1
C000420,36,106.36,2723.62,1,month-to-month,pix,dsl,1
C000421,67,62.22,3927.0,5,month-to-month,pix,fiber,0
C000422,50,116.16,8854.27,2,month-to-month,bank_transfer,fiber,0
C000423,55,85.66,6207.45,1,month-to-month,bank_transfer,fiber,0
C000424,42,65.91,5713.63,4,month-to-month,credit_card,none,1
C000425,30,39.14,5806.62,4,two-year,boleto,fiber,0
C000426,14,53.22,3566.37,0,month-to-month,credit_card,fiber,0
C000427,63,103.23,6206.65,0,one-year,pix,fiber,1
